runtime,theme,size,seed,variant,days,cpu_ms,wall_ms
node,delta,128,27,water-sparse,73,24264,25243.173499998637
node,delta,128,27,soil-cache,73,25222,26393.420300005004
node,delta,128,27,soil-saturation,73,26514,27439.211699998938
node,delta,128,27,water-wasm,73,21514,22423.338799998164
node,delta,128,27,combined,73,18877,19563.702200001106
node,delta,128,28,baseline,73,28625,30496.56350000482
node,delta,128,28,water-sparse,73,25951,28006.8361999942
node,delta,128,28,soil-cache,73,26786,28805.258499996737
node,delta,128,28,soil-saturation,73,27965,30296.76590000093
node,delta,128,28,water-wasm,73,23441,25517.998199994676
node,delta,128,28,combined,73,19770,21384.34589999914
node,delta,128,29,baseline,73,24737,25772.57230000198
node,delta,128,29,water-sparse,73,22186,23180.037700003013
node,delta,128,29,soil-cache,73,23234,24361.861399995163
node,delta,128,29,soil-saturation,73,24558,25872.50030000042
node,delta,128,29,water-wasm,73,19673,20516.655800007284
node,delta,128,29,combined,73,16955,17710.701199994422
node,delta,128,3,baseline,73,27172,30277.57680000644
node,delta,128,3,water-sparse,73,24249,27976.53079999704
node,delta,128,3,soil-cache,73,25514,28858.32919999864
node,delta,128,3,soil-saturation,73,26901,29248.144399996847
node,delta,128,3,water-wasm,73,21846,23690.835699999705
node,delta,128,3,combined,73,18609,20253.066599994898
node,delta,128,30,baseline,73,25895,26712.84269999806
node,delta,128,30,water-sparse,73,23280,23886.553999999538
node,delta,128,30,soil-cache,73,24094,24982.915399989113
node,delta,128,30,soil-saturation,73,25517,26248.21779999975
node,delta,128,30,water-wasm,73,21344,22203.924599999562
node,delta,128,30,combined,73,17927,18904.776199997403
node,delta,128,4,baseline,73,29140,32790.754799997434
node,delta,128,4,water-sparse,73,26515,28987.66209999565
node,delta,128,4,soil-cache,73,27672,31226.007699997164
node,delta,128,4,soil-saturation,73,28402,31164.84950000234
node,delta,128,4,water-wasm,73,23549,25968.47089999914
node,delta,128,4,combined,73,20816,22198.17630000133
node,delta,128,5,baseline,73,24996,28452.90460000187
node,delta,128,5,water-sparse,73,25277,28212.482200002298
node,delta,128,5,soil-cache,73,23295,26202.620300001465
node,delta,128,5,soil-saturation,73,25262,29885.641900001094
node,delta,128,5,water-wasm,73,21264,25096.350599997677
node,delta,128,5,combined,73,19512,24557.317999994382
